addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
東京都千代田区有楽町2-5-1<br>ルミネ有楽町店 ルミネ2 2F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 850882), 'lat_lon_source': 'website'}",139.763680860466,35.6735723065374,ユナイテッドアローズ 有楽町店,"{'opening_hours': {'Mon': '11:00-21:00', 'Tue': '11:00-21:00', 'Wed': '11:00-21:00', 'Thur': '11:00-21:00', 'Fri': '11:00-21:00', 'Sat': '11:00-21:00', 'Sun': '11:00-21:00'}}","050-8892-0763,050-8892-0764",100-0006,0120,東京都,https://www.lumine.ne.jp/yurakucho/
東京都千代田区丸の内1-5-1<br>新丸の内ビルディング 1F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 854623), 'lat_lon_source': 'website'}",139.764078964239,35.6824269969758,ユナイテッドアローズ 丸の内店,{'Weekday/Sat 11:00-21:00<br>Sun/National holiday 11:00-20:00'},050-8885-8756,100-6501,0122,東京都,https://www.marunouchi.com/building/shinmaru/
東京都千代田区丸の内1-9-1<br>大丸東京店　4F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 855288), 'lat_lon_source': 'website'}",139.768787195183,35.6812051336678,ユナイテッドアローズ 大丸東京 ウィメンズストア,{'Mon-Wed/Sat/Sun/National holiday 10:00-20:00<br>Thu/Fri 10:00-21:00'},050-8893-4201,100-6701,0137,東京都,https://www.daimaru.co.jp/tokyo/
東京都中央区日本橋1-4-1<br>COREDO 日本橋 1F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 855844), 'lat_lon_source': 'website'}",139.774220673442,35.6826617717482,ユナイテッドアローズ 日本橋店,{'Weekdayt 11:00-21:00<br>Sat/Sun/National holiday 11:00-20:00'},050-8893-4199,103-0027,0123,東京都,https://mitsui-shopping-park.com/urban/nihonbashi/index.html
東京都港区麻布台1-3-1 麻布台ヒルズ タワープラザ 2F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 856314), 'lat_lon_source': 'website'}",139.740188224379,35.6609951570243,ユナイテッドアローズ 麻布台ヒルズ ウィメンズストア,{'11:00-20:00<br><br>営業時間が変更もしくは臨時休業になる可能性がございます。<br>最新の情報は、店舗・各商業施設までお問い合わせください。'},03-5575-1335,106-0041,0128,東京都,https://www.azabudai-hills.com/
東京都港区六本木6-10-3<br>六本木ヒルズ ウェストウォーク 2F-3F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 857479), 'lat_lon_source': 'website'}",139.729067143381,35.6596828753015,ユナイテッドアローズ 六本木ヒルズ店,"{'opening_hours': {'Mon': '11:00-20:00', 'Tue': '11:00-20:00', 'Wed': '11:00-20:00', 'Thur': '11:00-20:00', 'Fri': '11:00-20:00', 'Sat': '11:00-20:00', 'Sun': '11:00-20:00'}}","050-8893-4218,050-8893-4217,050-8893-4219",106-0032,0129,東京都,https://www.roppongihills.com/
東京都新宿区西新宿1-1-5<br>ルミネ新宿 ルミネ1 B1・1F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 858124), 'lat_lon_source': 'website'}",139.6993,35.6892072,ユナイテッドアローズ 新宿店,{'Weekday 11:00-21:30<br>Sat/Sun/National holiday 10:30-21:30'},"050-8893-4221,050-8893-4220",160-0023,0130,東京都,https://www.lumine.ne.jp/shinjuku/
東京都世田谷区玉川3-17-1<br>玉川高島屋S･C 南館 2F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 859579), 'lat_lon_source': 'website'}",139.62621175191,35.613311727851,ユナイテッドアローズ 二子玉川店,{'10:00-20:00<br>'},050-8893-1894,158-0094,0150,東京都,https://www.takashimaya.co.jp/tamagawa/sc/
東京都渋谷区神宮前3-28-1 B1F-3F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 860310), 'lat_lon_source': 'website'}",139.709445347084,35.6720346461949,ユナイテッドアローズ 原宿本店（1F:ユナイテッドアローズ＆サンズ / 2F:ディストリクト ユナイテッドアローズ）,{''},,150-0001,0100,東京都,https://www.instagram.com/unitedarrows_official/
東京都渋谷区渋谷2-24-12 <br>渋谷スクランブルスクエア 8F,UNITED ARROWS,関東,Japan,"{'brand': 'UNITED ARROWS', 'fascia': 'ユナイテッドアローズ', 'category': 'Fashion', 'edit_date': datetime.datetime(2025, 3, 4, 21, 17, 7, 860968), 'lat_lon_source': 'website'}",139.702124,35.658442,ユナイテッドアローズ 渋谷スクランブルスクエア店,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thur': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-21:00', 'Sun': '10:00-21:00'}}",03-5774-1030,150-6101,0103,東京都,https://www.shibuya-scramble-square.com/
